user_id,matched_user_id,action,timestamp
U084,U063,1,2026-03-12
U037,U068,0,2026-01-03
U019,U056,1,2025-06-19
U031,U096,1,2026-02-05
U035,U086,0,2026-02-13
U045,U020,1,2025-11-08
U045,U039,0,2026-04-06
U082,U012,1,2026-05-08
U067,U085,1,2026-03-11
U062,U096,1,2026-01-22
U026,U091,0,2026-04-12
U080,U100,0,2026-05-06
U075,U067,1,2026-05-09
U091,U009,0,2025-06-02
U076,U006,1,2025-12-27
U047,U030,1,2025-08-19
U012,U099,1,2025-07-18
U038,U026,0,2026-05-26
U029,U001,0,2025-12-24
U025,U077,1,2026-01-06
U023,U055,1,2025-06-30
U070,U033,1,2026-04-20
U049,U004,1,2026-03-04
U081,U035,1,2026-04-22
U046,U084,1,2025-07-20
U098,U090,1,2026-03-22
U096,U049,1,2026-01-24
U008,U002,1,2025-08-05
U050,U068,1,2026-02-19
U008,U083,1,2025-08-13
U055,U052,1,2025-06-14
U089,U083,1,2026-05-04
U056,U079,1,2026-04-12
U005,U045,0,2025-08-05
U069,U072,0,2025-09-24
U029,U062,1,2026-02-27
U024,U095,0,2026-01-19
U003,U047,0,2026-03-14
U026,U007,0,2025-06-30
U087,U080,1,2025-10-13
U013,U003,1,2026-01-10
U018,U100,1,2025-08-15
U048,U072,0,2026-04-25
U005,U007,0,2025-11-16
U046,U057,1,2025-11-18
U026,U038,0,2026-03-18
U057,U025,0,2026-01-25
U021,U098,1,2026-01-15
U029,U042,1,2025-06-17
U036,U024,0,2026-05-04
U031,U005,1,2025-11-21
U035,U091,1,2025-10-22
U068,U018,0,2025-07-27
U016,U031,1,2026-04-28
U033,U054,1,2026-01-09
U011,U071,1,2025-10-18
U090,U056,1,2026-01-11
U095,U075,1,2026-01-03
U080,U040,0,2026-05-09
U082,U053,0,2026-05-23
U043,U017,1,2025-07-20
U034,U073,1,2025-11-14
U010,U038,0,2025-11-20
U062,U060,0,2025-12-14
U019,U037,0,2025-08-12
U050,U047,1,2026-04-12
U068,U041,0,2025-12-24
U023,U013,1,2025-10-30
U015,U098,1,2025-12-05
U096,U019,1,2025-06-28
U095,U092,1,2026-04-22
U091,U076,1,2025-10-19
U013,U056,1,2026-02-26
U010,U011,1,2026-02-22
U074,U056,0,2025-06-18
U053,U021,1,2025-06-27
U057,U077,1,2026-03-10
U096,U021,1,2025-12-25
U058,U007,0,2025-07-10
U063,U045,1,2025-09-07
U054,U045,1,2025-07-03
U096,U020,0,2026-04-13
U007,U035,1,2026-01-14
U047,U096,1,2026-01-08
U019,U089,1,2026-01-05
U078,U016,0,2026-01-06
U071,U022,1,2025-07-11
U069,U032,0,2025-12-26
U064,U041,1,2026-04-03
U026,U020,1,2026-04-21
U069,U056,0,2026-02-05
U086,U078,0,2025-07-22
U039,U006,1,2026-01-17
U056,U020,1,2025-08-08
U076,U077,0,2025-12-28
U063,U096,1,2026-02-21
U049,U069,1,2025-11-28
U100,U030,0,2025-07-17
U069,U091,1,2025-12-14
U100,U017,1,2025-10-13
U006,U069,1,2026-03-18
U092,U003,1,2025-07-30
U064,U015,1,2025-10-19
U100,U071,1,2025-11-13
U081,U012,1,2025-11-15
U019,U035,1,2025-09-01
U062,U071,0,2025-10-17
U024,U062,0,2025-09-16
U025,U042,1,2025-08-03
U078,U036,1,2026-04-11
U064,U035,1,2026-04-19
U071,U013,1,2026-01-15
U064,U077,1,2025-08-22
U045,U092,1,2025-12-20
U025,U014,0,2025-09-23
U097,U099,0,2026-01-02
U001,U087,1,2025-09-02
U087,U039,1,2026-01-03
U008,U065,1,2025-07-06
U014,U037,1,2025-06-22
U042,U066,0,2026-03-23
U078,U094,1,2026-03-15
U086,U031,0,2025-06-25
U006,U055,1,2026-02-03
U046,U079,1,2025-09-15
U067,U002,1,2025-08-07
U031,U001,1,2025-07-03
U001,U038,1,2025-06-24
U060,U071,1,2026-02-25
U039,U086,1,2025-06-29
U011,U024,1,2026-04-09
U082,U005,0,2025-07-09
U020,U010,0,2026-05-15
U051,U075,1,2025-11-12
U079,U075,0,2026-03-14
U005,U029,1,2026-04-01
U029,U013,1,2026-05-08
U017,U002,0,2025-07-17
U061,U021,1,2026-04-21
U031,U074,0,2025-12-07
U021,U088,1,2026-05-12
U009,U068,0,2025-06-22
U036,U037,1,2026-02-25
U082,U007,1,2025-08-10
U025,U044,1,2025-07-17
U054,U056,0,2026-03-12
U026,U018,1,2025-08-15
U077,U066,1,2025-09-19
U045,U015,0,2025-08-29
U038,U021,0,2025-06-23
U039,U011,1,2025-08-07
U085,U098,1,2026-03-29
U085,U006,1,2026-04-07
U087,U018,1,2026-03-02
U041,U051,0,2026-02-03
U033,U096,1,2025-11-22
U080,U037,1,2025-08-11
U094,U008,1,2026-04-13
U078,U074,1,2025-12-12
U078,U068,1,2025-06-29
U086,U037,1,2025-07-30
U042,U061,0,2025-06-20
U003,U046,1,2025-09-09
U069,U055,0,2026-04-25
U026,U017,0,2026-02-18
U051,U003,1,2025-10-07
U011,U042,0,2026-03-22
U081,U068,1,2025-08-23
U044,U054,1,2025-07-09
U096,U036,1,2026-05-17
U028,U016,1,2026-04-21
U002,U083,1,2025-07-19
U021,U034,1,2025-09-21
U089,U085,1,2026-05-28
U077,U081,1,2025-12-23
U094,U023,1,2025-10-07
U082,U021,1,2026-01-31
U003,U038,0,2026-03-22
U049,U024,1,2025-10-11
U017,U095,1,2026-02-09
U074,U048,0,2026-02-22
U061,U039,1,2025-07-20
U015,U038,1,2026-03-18
U053,U012,1,2026-01-12
U038,U083,1,2025-09-27
U100,U015,1,2025-07-11
U031,U009,1,2026-03-22
U012,U006,1,2026-04-17
U013,U049,1,2026-05-27
U088,U045,1,2025-11-24
U005,U025,1,2026-01-03
U014,U093,1,2026-03-14
U028,U081,1,2026-05-15
U017,U052,1,2025-11-27
U063,U081,1,2026-02-21
U044,U031,0,2025-12-28
U081,U031,1,2026-05-01
U060,U006,0,2025-09-19
U056,U006,1,2026-03-19
U097,U008,1,2025-11-18
U009,U068,0,2025-12-28
U038,U082,1,2025-06-22
U070,U061,0,2025-06-25
U011,U026,1,2025-10-31
U088,U058,1,2026-03-02
